complaint_id,customer_id,tower_id,complaint_type,status,resolution_days,complaint_date
COMP_00001,2868-SNELZ,TOWER_027,Call Drop,Open,44,2026-01-02
COMP_00002,8229-TNIQA,TOWER_042,Network Outage,Open,41,2025-06-28
COMP_00003,6386-SZZKH,TOWER_049,SIM Issue,Escalated,43,2025-12-15
COMP_00004,8290-YWKHZ,TOWER_005,SIM Issue,Open,18,2026-04-26
COMP_00005,9019-QVLZD,TOWER_025,SIM Issue,Resolved,29,2025-12-12
COMP_00006,3696-XRIEN,TOWER_009,SIM Issue,Escalated,20,2025-08-29
COMP_00007,3677-IYRBF,TOWER_029,Call Drop,Escalated,21,2025-12-21
COMP_00008,9638-JIQYA,TOWER_043,Call Drop,Escalated,17,2025-12-01
COMP_00009,3208-YPIOE,TOWER_035,Slow Data,Resolved,14,2025-10-04
COMP_00010,3865-YIOTT,TOWER_043,Slow Data,Escalated,8,2025-07-26
COMP_00011,1432-FPAXX,TOWER_013,Network Outage,Resolved,17,2025-08-23
COMP_00012,5066-GFJMM,TOWER_043,Slow Data,Open,17,2025-05-23
COMP_00013,2866-IKBTM,TOWER_028,Call Drop,Open,5,2025-06-02
COMP_00014,9782-LGXMC,TOWER_030,Billing Error,Open,24,2026-02-19
COMP_00015,1930-WNXSB,TOWER_050,Network Outage,Open,35,2026-03-23
COMP_00016,3439-GVUSX,TOWER_049,Call Drop,Resolved,26,2025-12-01
COMP_00017,5397-NSKQG,TOWER_007,Network Outage,Resolved,43,2025-06-27
COMP_00018,7706-DZNKK,TOWER_014,Network Outage,Escalated,22,2026-01-24
COMP_00019,1193-RTSLK,TOWER_008,Billing Error,Open,37,2025-07-15
COMP_00020,0836-SEYLU,TOWER_027,Call Drop,Escalated,28,2025-05-27
COMP_00021,9500-IWPXQ,TOWER_038,Billing Error,Open,13,2026-03-26
COMP_00022,8380-PEFPE,TOWER_027,Network Outage,Escalated,5,2026-03-10
COMP_00023,1725-MIMXW,TOWER_030,Billing Error,Open,8,2025-12-27
COMP_00024,1485-YDHMM,TOWER_046,SIM Issue,Escalated,15,2025-10-05
COMP_00025,9392-XBGTD,TOWER_027,Slow Data,Resolved,34,2025-06-13
COMP_00026,5295-PCJOO,TOWER_029,Call Drop,Resolved,17,2026-01-18
COMP_00027,5583-SXDAG,TOWER_015,Billing Error,Open,20,2026-02-16
COMP_00028,9490-DFPMD,TOWER_009,Slow Data,Resolved,18,2026-02-27
COMP_00029,3723-BFBGR,TOWER_006,Call Drop,Resolved,15,2025-05-27
COMP_00030,8970-ANWXO,TOWER_034,Network Outage,Resolved,41,2026-04-16
COMP_00031,9274-CNFMO,TOWER_025,Slow Data,Resolved,25,2025-06-23
COMP_00032,3315-TOTBP,TOWER_050,Billing Error,Resolved,7,2025-06-08
COMP_00033,7524-VRLPL,TOWER_030,Call Drop,Resolved,10,2025-11-20
