device_imei,customer_id,brand,model,os,sim_count
IMEI_000000000000001,7590-VHVEG,Apple,Apple-yL38,iOS,2
IMEI_000000000000002,5575-GNVDE,Apple,Apple-gJ65,iOS,1
IMEI_000000000000003,3668-QPYBK,Huawei,Huawei-Ev99,Android,1
IMEI_000000000000004,7795-CFOCW,Nokia,Nokia-oG15,Android,2
IMEI_000000000000005,9237-HQITU,Samsung,Samsung-tv82,Android,2
IMEI_000000000000006,9305-CDSKC,Oppo,Oppo-Qj96,Android,1
IMEI_000000000000007,1452-KIOVK,Apple,Apple-KS39,iOS,2
IMEI_000000000000008,6713-OKOMC,Nokia,Nokia-TA62,Android,2
IMEI_000000000000009,7892-POOKP,Apple,Apple-si08,iOS,2
IMEI_000000000000010,6388-TABGU,Xiaomi,Xiaomi-Sq73,Android,2
IMEI_000000000000011,9763-GRSKD,Apple,Apple-ZU22,iOS,2
IMEI_000000000000012,7469-LKBCI,Huawei,Huawei-lZ74,Android,2
IMEI_000000000000013,8091-TTVAX,Huawei,Huawei-cx12,Android,2
IMEI_000000000000014,0280-XJGEX,Samsung,Samsung-fq41,Android,1
IMEI_000000000000015,5129-JLPIS,Oppo,Oppo-Ey05,Android,2
IMEI_000000000000016,3655-SNQYZ,Apple,Apple-hz07,iOS,2
IMEI_000000000000017,8191-XWSZG,Oppo,Oppo-TA65,Android,1
IMEI_000000000000018,9959-WOFKT,Samsung,Samsung-mx95,Android,2
IMEI_000000000000019,4190-MFLUW,Samsung,Samsung-yl80,Android,2
IMEI_000000000000020,4183-MYFRB,Oppo,Oppo-TU34,Android,1
IMEI_000000000000021,8779-QRDMV,Huawei,Huawei-QR09,Android,2
IMEI_000000000000022,1680-VDCWW,Oppo,Oppo-Ub96,Android,2
IMEI_000000000000023,1066-JKSGK,Xiaomi,Xiaomi-zy98,Android,1
IMEI_000000000000024,3638-WEABW,Oppo,Oppo-Or57,Android,1
IMEI_000000000000025,6322-HRPFA,Apple,Apple-qS80,iOS,1
IMEI_000000000000026,6865-JZNKO,Oppo,Oppo-zq35,Android,1
IMEI_000000000000027,6467-CHFZW,Oppo,Oppo-Nc37,Android,2
IMEI_000000000000028,8665-UTDHZ,Nokia,Nokia-Gf45,Android,1
IMEI_000000000000029,5248-YGIJN,Huawei,Huawei-Wf22,Android,2
IMEI_000000000000030,8773-HHUOZ,Oppo,Oppo-Zc50,Android,1
IMEI_000000000000031,3841-NFECX,Xiaomi,Xiaomi-ou59,Android,2
IMEI_000000000000032,4929-XIHVW,Huawei,Huawei-OF93,Android,2
IMEI_000000000000033,6827-IEAUQ,Nokia,Nokia-zS22,Android,2
IMEI_000000000000034,7310-EGVHZ,Nokia,Nokia-DA75,Android,2
IMEI_000000000000035,3413-BMNZE,Huawei,Huawei-rP47,Android,2
IMEI_000000000000036,6234-RAAPL,Apple,Apple-Xd03,iOS,2
IMEI_000000000000037,6047-YHPVI,Apple,Apple-iB45,iOS,1
IMEI_000000000000038,6572-ADKRS,Samsung,Samsung-RS18,Android,2
IMEI_000000000000039,5380-WJKOV,Xiaomi,Xiaomi-ty47,Android,2
IMEI_000000000000040,8168-UQWWF,Huawei,Huawei-dD45,Android,2
IMEI_000000000000041,8865-TNMNX,Huawei,Huawei-Da47,Android,1
IMEI_000000000000042,9489-DEDVP,Oppo,Oppo-hK56,Android,1
IMEI_000000000000043,9867-JCZSP,Apple,Apple-Ea88,iOS,2
IMEI_000000000000044,4671-VJLCL,Huawei,Huawei-hz52,Android,2
IMEI_000000000000045,4080-IIARD,Oppo,Oppo-PW66,Android,2
IMEI_000000000000046,3714-NTNFO,Samsung,Samsung-ZB53,Android,2
IMEI_000000000000047,5948-UJZLF,Huawei,Huawei-cN31,Android,2
IMEI_000000000000048,7760-OYPDY,Nokia,Nokia-lo55,Android,1
IMEI_000000000000049,7639-LIAYI,Xiaomi,Xiaomi-JB03,Android,1
IMEI_000000000000050,2954-PIBKO,Xiaomi,Xiaomi-je05,Android,2
IMEI_000000000000051,8012-SOUDQ,Nokia,Nokia-rJ58,Android,1
IMEI_000000000000052,9420-LOJKX,Xiaomi,Xiaomi-sE41,Android,1
IMEI_000000000000053,6575-SUVOI,Huawei,Huawei-EW64,Android,2
IMEI_000000000000054,7495-OOKFY,Oppo,Oppo-gD96,Android,1
IMEI_000000000000055,4667-QONEA,Huawei,Huawei-rI86,Android,1
IMEI_000000000000056,1658-BYGOY,Nokia,Nokia-Ef13,Android,2
IMEI_000000000000057,8769-KKTPH,Oppo,Oppo-if08,Android,1
IMEI_000000000000058,5067-XJQFU,Samsung,Samsung-ZN21,Android,1
IMEI_000000000000059,3957-SQXML,Apple,Apple-Cz39,iOS,1
IMEI_000000000000060,5954-BDFSG,Huawei,Huawei-EB97,Android,2
IMEI_000000000000061,0434-CSFON,Oppo,Oppo-QT15,Android,2
IMEI_000000000000062,1215-FIGMP,Samsung,Samsung-DM55,Android,1
IMEI_000000000000063,0526-SXDJP,Oppo,Oppo-oB02,Android,2
IMEI_000000000000064,0557-ASKVU,Huawei,Huawei-TY26,Android,2
IMEI_000000000000065,5698-BQJOH,Xiaomi,Xiaomi-KZ78,Android,2
IMEI_000000000000066,5122-CYFXA,Huawei,Huawei-Xz57,Android,1
IMEI_000000000000067,8627-ZYGSZ,Nokia,Nokia-bf87,Android,1
IMEI_000000000000068,3410-YOQBQ,Huawei,Huawei-cR09,Android,2
IMEI_000000000000069,3170-NMYVV,Xiaomi,Xiaomi-td14,Android,2
IMEI_000000000000070,7410-OIEDU,Oppo,Oppo-FH43,Android,2
IMEI_000000000000071,2273-QCKXA,Xiaomi,Xiaomi-zc88,Android,1
IMEI_000000000000072,0731-EBJQB,Nokia,Nokia-RK19,Android,1
IMEI_000000000000073,1891-QRQSA,Xiaomi,Xiaomi-Um94,Android,1
IMEI_000000000000074,8028-PNXHQ,Xiaomi,Xiaomi-UB66,Android,2
IMEI_000000000000075,5630-AHZIL,Oppo,Oppo-Gf07,Android,2
IMEI_000000000000076,2673-CXQEU,Xiaomi,Xiaomi-mc96,Android,2
IMEI_000000000000077,6416-JNVRK,Apple,Apple-oZ02,iOS,1
IMEI_000000000000078,5590-ZSKRV,Nokia,Nokia-Ni65,Android,1
IMEI_000000000000079,0191-ZHSKZ,Xiaomi,Xiaomi-kQ47,Android,2
IMEI_000000000000080,3887-PBQAO,Samsung,Samsung-NL81,Android,1
IMEI_000000000000081,5919-TMRGD,Samsung,Samsung-PU51,Android,2
IMEI_000000000000082,8108-UXRQN,Apple,Apple-qf75,iOS,2
IMEI_000000000000083,9191-MYQKX,Nokia,Nokia-wZ12,Android,1
IMEI_000000000000084,9919-YLNNG,Apple,Apple-nR98,iOS,1
IMEI_000000000000085,0318-ZOPWS,Huawei,Huawei-ky81,Android,2
IMEI_000000000000086,4445-ZJNMU,Apple,Apple-rl78,iOS,1
