payment_id,customer_id,plan_code,amount,payment_method,payment_status,payment_date
PAY_000001,2101-RANCD,PLAN_A,69.29,Credit Card,Success,2026-04-01
PAY_000002,6265-SXWBU,PLAN_B,65.41,Cash,Success,2025-11-09
PAY_000003,4860-YZGZM,PLAN_A,64.95,Mobile Wallet,Success,2025-09-13
PAY_000004,2703-AMTUL,PLAN_B,62.75,Debit Card,Success,2025-06-21
PAY_000005,0302-JOIVN,PLAN_A,65.38,Cash,Success,2026-03-09
PAY_000006,9903-LYSAB,PLAN_A,68.28,Mobile Wallet,Success,2025-05-12
PAY_000007,4831-EOBFE,PLAN_A,67.65,Mobile Wallet,Success,2026-03-23
PAY_000008,2361-FJWNO,PLAN_B,65.29,Debit Card,Success,2026-04-27
PAY_000009,8661-BOYNW,PLAN_C,61.12,Cash,Success,2025-08-08
PAY_000010,0506-LVNGN,PLAN_A,65.66,Debit Card,Success,2026-04-20
PAY_000011,8885-QSQBX,PLAN_A,63.51,Cash,Success,2025-05-12
PAY_000012,1898-JSNDC,PLAN_B,64.89,Cash,Success,2025-12-21
PAY_000013,2439-QKJUL,PLAN_A,63.11,Cash,Success,2025-07-08
PAY_000014,2359-KLTEK,PLAN_A,63.64,Mobile Wallet,Success,2026-02-11
PAY_000015,4903-CNOZC,PLAN_B,64.39,Credit Card,Success,2025-07-14
PAY_000016,7270-BDIOA,PLAN_A,63.38,Cash,Success,2025-08-11
PAY_000017,1925-GMVBW,PLAN_A,66.06,Mobile Wallet,Success,2025-05-05
PAY_000018,6402-SSEJG,PLAN_B,66.45,Mobile Wallet,Success,2025-12-25
PAY_000019,5348-CAGXB,PLAN_A,63.78,Debit Card,Success,2026-01-26
PAY_000020,4320-QMLLA,PLAN_A,67.35,Cash,Success,2026-03-23
PAY_000021,3034-ZBEQN,PLAN_B,62.33,Cash,Success,2025-08-19
PAY_000022,9776-CLUJA,PLAN_A,65.53,Debit Card,Success,2026-04-17
PAY_000023,4377-VDHYI,PLAN_B,65.8,Cash,Success,2025-10-23
PAY_000024,4234-XTNEA,PLAN_A,64.02,Cash,Success,2025-10-06
PAY_000025,2481-SBOYW,PLAN_C,60.73,Credit Card,Success,2025-12-22
PAY_000026,3948-XHGNA,PLAN_A,66.73,Debit Card,Failed,2025-12-09
PAY_000027,0529-ONKER,PLAN_A,64.46,Credit Card,Success,2025-07-01
PAY_000028,2589-AYCRP,PLAN_B,62.8,Mobile Wallet,Success,2025-07-12
PAY_000029,5696-QURRL,PLAN_A,63.64,Cash,Success,2025-08-06
PAY_000030,4315-MURBD,PLAN_A,68.41,Credit Card,Failed,2025-07-01
PAY_000031,1228-FZFRV,PLAN_A,64.67,Cash,Success,2025-05-09
PAY_000032,6072-NUQCB,PLAN_B,67.61,Cash,Success,2025-05-23
PAY_000033,5536-RTPWK,PLAN_A,64.76,Cash,Success,2025-07-24
PAY_000034,6023-GSSXW,PLAN_C,59.57,Mobile Wallet,Success,2025-07-17
PAY_000035,7422-WNBTY,PLAN_A,67.47,Cash,Success,2026-04-18
PAY_000036,9500-LTVBP,PLAN_A,64.53,Mobile Wallet,Success,2025-05-26
PAY_000037,0311-UNPFF,PLAN_A,66.13,Cash,Success,2025-07-16
PAY_000038,9185-TQCVP,PLAN_A,63.24,Credit Card,Failed,2025-07-20
PAY_000039,8015-IHCGW,PLAN_C,60.22,Debit Card,Success,2025-07-18
PAY_000040,0691-JVSYA,PLAN_B,62.3,Debit Card,Success,2025-10-17
PAY_000041,1310-QRITU,PLAN_A,67.97,Cash,Success,2026-03-12
PAY_000042,8947-YRTDV,PLAN_B,63.95,Debit Card,Success,2025-08-17
PAY_000043,1022-RKXDR,PLAN_B,65.29,Credit Card,Success,2026-02-25
PAY_000044,9828-QHFBK,PLAN_A,68.01,Mobile Wallet,Success,2025-10-04
PAY_000045,3865-QBWSJ,PLAN_A,63.92,Cash,Success,2026-03-09
PAY_000046,5458-CQJTA,PLAN_C,63.09,Debit Card,Failed,2025-05-12
PAY_000047,7595-EHCDL,PLAN_A,64.54,Mobile Wallet,Success,2025-08-07
PAY_000048,3275-RHRNE,PLAN_B,65.32,Cash,Success,2026-01-25
PAY_000049,3721-CNEYS,PLAN_A,66.04,Cash,Failed,2025-05-26
PAY_000050,0581-BXBUB,PLAN_A,65.72,Credit Card,Success,2025-09-18
PAY_000051,5542-NKVRU,PLAN_C,58.43,Cash,Success,2025-04-30
PAY_000052,6198-PNNSZ,PLAN_B,68.09,Credit Card,Success,2025-12-12
PAY_000053,6617-WLBQC,PLAN_B,68.05,Debit Card,Success,2025-05-14
PAY_000054,3181-MIZBN,PLAN_A,64.9,Cash,Success,2026-04-04
PAY_000055,0608-JDVEC,PLAN_C,63.5,Debit Card,Success,2025-08-26
PAY_000056,1349-WXNGG,PLAN_A,66.68,Mobile Wallet,Failed,2025-12-04
PAY_000057,9643-YBLUR,PLAN_A,65.77,Credit Card,Success,2025-10-28
